1,-0.5,-0.5,1.414
2,-0.5,-0.4,1.345
3,-0.5,-0.3,1.281
4,-0.5,-0.2,1.221
5,-0.5,-0.1,1.166
6,-0.5,0,1.118
7,-0.5,0.1,1.077
8,-0.5,0.2,1.044
9,-0.5,0.3,1.02
10,-0.5,0.4,1.005
11,-0.5,0.5,1
12,-0.4,-0.5,1.345
13,-0.4,-0.4,1.273
14,-0.4,-0.3,1.204
15,-0.4,-0.2,1.14
16,-0.4,-0.1,1.082
17,-0.4,0,1.03
18,-0.4,0.1,0.985
19,-0.4,0.2,0.949
20,-0.4,0.3,0.922
21,-0.4,0.4,0.906
22,-0.4,0.5,0.9
23,-0.3,-0.5,1.281
24,-0.3,-0.4,1.204
25,-0.3,-0.1,1
26,-0.3,0,0.943
27,-0.3,0.1,0.894
28,-0.3,0.2,0.854
29,-0.3,0.4,0.806
30,-0.3,0.5,0.8
31,-0.2,-0.5,1.221
32,-0.2,-0.3,1.063
33,-0.2,-0.2,0.99
34,-0.2,-0.1,0.922
35,-0.2,0,0.86
36,-0.2,0.1,0.806
37,-0.2,0.4,0.707
38,-0.2,0.5,0.7
39,-0.1,-0.3,1
40,-0.1,-0.2,0.922
41,-0.1,-0.1,0.849
42,-0.1,0.2,0.671
43,-0.1,0.3,0.632
44,-0.1,0.4,0.608
45,-0.1,0.5,0.6
46,0,-0.5,1.118
47,0,-0.3,0.943
48,0,-0.2,0.86
49,0,0.2,0.583
50,0,0.3,0.539
51,0,0.5,0.5
52,0.1,-0.5,1.077
53,0.1,-0.4,0.985
54,0.1,-0.3,0.894
55,0.1,-0.2,0.806
56,0.1,-0.1,0.721
57,0.1,0,0.64
58,0.1,0.1,0.566
59,0.1,0.2,0.5
60,0.2,-0.5,1.044
61,0.2,-0.4,0.949
62,0.2,-0.2,0.762
63,0.2,-0.1,0.671
64,0.2,0,0.583
65,0.2,0.1,0.5
66,0.2,0.3,0.361
67,0.2,0.4,0.316
68,0.2,0.5,0.3
69,0.3,-0.5,1.02
70,0.3,-0.4,0.922
71,0.3,-0.2,0.728
72,0.3,-0.1,0.632
73,0.3,0,0.539
74,0.3,0.3,0.283
75,0.3,0.4,0.224
76,0.3,0.5,0.2
77,0.4,-0.5,1.005
78,0.4,-0.4,0.906
79,0.4,-0.3,0.806
80,0.4,-0.2,0.707
81,0.4,-0.1,0.608
82,0.4,0,0.51
83,0.4,0.1,0.412
84,0.4,0.2,0.316
85,0.4,0.3,0.224
86,0.4,0.4,0.141
87,0.4,0.5,0.1
88,0.5,-0.5,1
89,0.5,-0.4,0.9
90,0.5,-0.3,0.8
91,0.5,-0.2,0.7
92,0.5,-0.1,0.6
93,0.5,0,0.5
94,0.5,0.1,0.4
95,0.5,0.2,0.3
96,0.5,0.3,0.2
97,0.5,0.4,0.1
98,0.5,0.5,0
